"artist_names","artists_id","danceability","energy","valence","tempo","loudness","mode","key","acousticness","instrumentalness","liveness","speechiness","explicit","duration_ms","popularity","year","release_date","song_title","follower_main_genre"
"Alexander O'Neal",625201,0.761,0.702,0.85,104.773,-8.523,1,7,0.108,3.13e-05,0.0935,0.0389,0,304427,34,1991,"1/1/1991","All True Man","R&B"
"Alexander O'Neal",625201,0.661,0.828,0.902,115.078,-12.673,0,11,0.276,1.4e-06,0.287,0.039,0,264933,37,1987,"7/29/1987","(What Can I Say) To Make You Love Me","R&B"
"Alexander O'Neal",625201,0.719,0.65,0.953,105.141,-12.947,0,7,0.0103,4.36e-05,0.133,0.0265,0,277773,34,1987,"7/29/1987","The Lovers","R&B"
"Alexander O'Neal",625201,0.649,0.245,0.273,112.709,-17.585,1,11,0.496,0,0.174,0.0286,0,312733,29,1987,"7/29/1987","Crying Overtime","R&B"
"Alexander O'Neal",625201,0.701,0.715,0.735,101.515,-14.999,0,11,0.06,0,0.354,0.0291,0,241107,32,1987,"7/29/1987","Hearsay","R&B"
"Alexander O'Neal",625201,0.629,0.414,0.458,138.932,-15.002,1,1,0.544,0.000802,0.0731,0.0299,0,359200,47,1987,"7/29/1987","Sunshine","R&B"
"Alexander O'Neal",625201,0.624,0.555,0.185,81.102,-9.646,0,5,0.042,0.000391,0.224,0.0271,0,370560,48,1995,"10/1/1995","If You Were Here *******","R&B"
"Alexander O'Neal",625201,0.735,0.694,0.755,112.846,-13.515,0,6,0.0011,0.0521,0.218,0.0348,0,235493,42,1987,"7/29/1987","Fake","R&B"
"Alexander O'Neal",625201,0.659,0.759,0.74,116.943,-12.455,0,11,0.0792,1.09e-06,0.0564,0.0436,0,247400,53,1987,"7/29/1987","Criticize","R&B"
"Alexander O'Neal",625201,0.75,0.59,0.803,104.101,-11.799,1,5,0.321,0,0.115,0.0346,0,309400,40,1987,"7/29/1987","Never Knew Love Like This","R&B"
"Anita O'Day",479028,0.563,0.0731,0.226,75.316,-19.433,1,2,0.957,0,0.179,0.0345,0,126893,18,1957,"1/1/1957","Stella By Starlight","Vocal"
"Anita O'Day",479028,0.461,0.0314,0.177,62.738,-22.119,1,10,0.933,0.00023,0.0858,0.0381,0,197707,11,1960,"1/1/1960","Easy Living","Vocal"
